location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total
unit,°C,mm,%,km/h,°,%
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total
20240108T0100,-0.72975457,0.0,85.547104,15.39184,10.7842865,83.0
20240108T0200,-0.9597546,0.0,84.81319,14.917212,8.325638,90.0
20240108T0300,-1.1597546,0.0,83.51814,14.685176,11.309921,93.0
20240108T0400,-1.1797546,0.0,81.460526,14.408997,12.994629,92.0
20240108T0500,-1.1897546,0.0,79.14838,13.896187,16.557053,97.0
20240108T0600,-1.1797546,0.0,77.308586,13.450708,15.524109,88.0
20240108T0700,-1.1797546,0.0,75.90907,13.1041975,15.945404,93.0
20240108T0800,-1.0897546,0.0,74.892456,13.32,18.924637,81.0
20240108T0900,-0.9497546,0.0,74.63593,14.33234,25.27771,86.0
20240108T1000,-0.7197546,0.0,71.5616,15.484185,35.53766,95.0
20240108T1100,-0.61975455,0.0,69.63993,14.982228,35.217575,95.0
20240108T1200,-0.3797546,0.0,68.53212,14.84318,39.09384,92.0
20240108T1300,-0.28975457,0.0,67.978546,15.021105,44.028976,96.0
20240108T1400,-0.2697546,0.0,68.03541,15.273505,44.999985,96.0
20240108T1500,-0.34975457,0.0,68.22504,15.30741,48.81407,91.0
20240108T1600,-0.5697546,0.0,68.80295,11.720751,42.510437,64.0
20240108T1700,-0.76975465,0.0,69.445244,11.525623,38.659805,72.0
20240108T1800,-0.9597546,0.0,70.04352,11.246759,39.805573,76.0
20240108T1900,-1.0797546,0.0,71.09922,10.233123,39.2894,76.0
20240108T2000,-0.98975456,0.0,71.173904,9.931042,43.53119,63.0
20240108T2100,-1.0197546,0.0,71.82452,11.457958,43.726974,63.0
20240108T2200,-0.9597546,0.0,73.279915,10.685391,32.619232,79.0
20240108T2300,-1.0397546,0.0,73.76836,9.826088,28.442917,77.0
20240109T0000,-1.1997546,0.0,73.509674,9.983106,25.640991,65.0
20240109T0100,-1.5697545,0.0,74.224075,10.163227,22.932098,71.0
20240109T0200,-1.9097546,0.0,74.72531,10.144082,27.474426,53.0
20240109T0300,-2.1097546,0.0,74.62677,9.19939,30.579224,50.0
20240109T0400,-2.6397548,0.0,76.38059,9.085988,33.690063,53.0
20240109T0500,-2.7997546,0.0,75.12037,8.435069,39.805573,50.0
20240109T0600,-2.8797545,0.0,73.492256,7.653705,41.18593,47.0
20240109T0700,-2.9797544,0.0,72.33781,7.127636,44.999985,33.0
20240109T0800,-2.9897547,0.0,74.041084,7.2,53.130096,40.0
20240109T0900,-2.8297548,0.0,72.42716,7.4128532,60.945396,25.0
20240109T1000,-2.7397547,0.0,75.42347,7.24486,63.43495,51.0
20240109T1100,-2.4497547,0.0,74.90242,5.815978,68.19859,65.0
20240109T1200,-2.1897545,0.0,74.897995,6.1305785,49.76364,87.0
20240109T1300,-1.9597546,0.0,74.31415,5.1165614,50.7106,96.0
20240109T1400,-1.8497547,0.0,74.3941,4.1046314,37.87497,98.0
20240109T1500,-1.9097546,0.0,76.230736,4.8433046,48.01277,97.0
20240109T1600,-2.7297544,0.0,83.85702,5.0911684,44.999985,98.0
20240109T1700,-2.5297546,0.0,82.30205,5.0911684,44.999985,100.0
20240109T1800,-2.3197546,0.0,83.40833,4.6938257,57.5288,100.0
20240109T1900,-2.5497546,0.6,87.33327,4.2136917,70.016884,100.0
20240109T2000,-2.6197548,0.6,88.05649,4.452954,75.96376,100.0
20240109T2100,-2.4497547,0.6,86.03032,4.6938252,85.60129,100.0
20240109T2200,-2.5597544,0.5,90.97576,4.379589,80.537674,97.0
20240109T2300,-2.6297545,0.4,91.31327,4.5536795,108.434944,93.0
20240110T0000,-2.6497545,0.2,91.79538,4.510787,118.61046,94.0
20240110T0100,-2.7097545,0.1,92.067665,2.6208394,105.9454,95.0
20240110T0200,-2.8797545,0.0,93.24274,2.1897945,80.537674,82.0
20240110T0300,-2.7497544,0.0,92.34266,2.1897945,80.537674,73.0
20240110T0400,-2.8797545,0.0,91.6357,2.5455842,81.869896,69.0
20240110T0500,-3.0297546,0.0,91.13705,1.8,89.99999,61.0
20240110T0600,-3.2197547,0.0,89.81249,2.1897945,99.46232,42.0
20240110T0700,-3.3897548,0.0,88.97692,3.2599385,96.34019,9.6
20240110T0800,-3.2197547,0.0,87.31645,2.9024127,97.125015,19.5
20240110T0900,-2.3397546,0.0,85.65405,3.319036,102.52881,46.0
20240110T1000,-1.3397546,0.0,83.743935,4.32,89.99999,70.0
20240110T1100,-0.4297546,0.0,82.814476,5.634891,116.56505,78.0
20240110T1200,0.23024541,0.0,81.32003,4.6938257,122.47119,83.0
20240110T1300,0.8202454,0.0,81.051346,3.9763298,84.805565,86.0
20240110T1400,0.9502454,0.0,80.35215,5.0142193,68.96249,90.0
20240110T1500,0.100245416,0.0,87.13257,4.829907,63.43495,35.0
